# ::id 416002
# ::tok Après six mois passés dans le Nebraska , chargé de précieuses collections , j ' arrivai à New York vers la fin de mars .
# ::alignments 0-1.1 1-1.2.2.1 2-1.2.2.2 3-1.2.3 4-1.2.4.1 5-1.2.4.2 6-1.2.4.3 8-1.3.2 9-1.3.3.1 10-1.3.3.2 11-1.3.3.3 13-1.2.1 15-1.4.2 16-1.4.3.1 17-1.4.3.2 18-1.4.3.2 19-1.4.4.1 20-1.4.4.2.1 21-1.4.4.2.2 22-1.4.4.2.3 23-1.4.4.3
(v1 / label
    :L (v2 / label~e.0)
    :H (v3 / label
           :A (v6 / label~e.13)
           :T (v7 / label
                  :E (v15 / label~e.1)
                  :C (v16 / label~e.2))
           :P (v8 / label~e.3)
           :A (v9 / label
                  :R (v17 / label~e.4)
                  :E (v18 / label~e.5)
                  :C (v19 / label~e.6)))
    :H (v4 / label
           :A v6
           :P (v10 / label~e.8)
           :A (v11 / label
                   :R (v20 / label~e.9)
                   :E (v21 / label~e.10)
                   :C (v22 / label~e.11)))
    :H (v5 / label
           :A v6
           :P (v12 / label~e.15)
           :A (v13 / label
                   :R (v23 / label~e.16)
                   :C (v24 / label~e.17,18))
           :T (v14 / label
                   :R (v25 / label~e.19)
                   :E (v26 / label
                           :E (v28 / label~e.20)
                           :C (v29 / label~e.21)
                           :R (v30 / label~e.22))
                   :C (v27 / label~e.23))))
