# ::id 863000
# ::tok « Comment , Ned , lui demandai - je , comment pouvez - vous ne pas être convaincu de l' existence du cétacé que nous poursuivons ? Avez - vous donc des raisons particulières de vous montrer si incrédule ? »
# ::alignments 1-1.1.1.1.1 3-1.1.1.1.2 5-1.1.2 6-1.1.3 8-1.1.7 11-1.1.1.1.4 13-1.1.1.1.5 14-1.1.1.1.6 15-1.1.1.1.6 17-1.1.1.1.8 18-1.1.1.1.9.1 19-1.1.1.1.9.2.1 20-1.1.1.1.9.2.2 21-1.1.1.1.9.3.1 22-1.1.1.1.9.3.2 23-1.1.1.1.9.3.3.2 24-1.1.1.1.9.3.3.3 25-1.1.1.1.9.3.3.4 29-1.1.1.2.2 30-1.1.1.3 31-1.1.1.2.3.1 32-1.1.1.2.3.2 33-1.1.1.2.4 34-1.1.1.2.5.2 35-1.1.1.2.5.3 36-1.1.1.2.5.3 37-1.1.1.2.5.4 38-1.1.1.2.5.5
# ::format ucca
(v1 / label
    :H (v2 / label
           :A (v3 / label
                  :H (v7 / label
                         :D (v10 / label~e.1)
                         :G (v11 / label~e.3)
                         :D (v12 / label~e.11)
                         :A (v13 / label~e.13)
                         :D (v14 / label~e.14,15)
                         :P (v15 / label~e.17)
                         :A (v16 / label
                                 :R (v21 / label~e.18)
                                 :S (v22 / label
                                         :E (v30 / label~e.19)
                                         :C (v31 / label~e.20))
                                 :A (v23 / label
                                         :R (v32 / label~e.21)
                                         :C (v33 / label~e.22)
                                         :E (v34 / label
                                                 :A v33
                                                 :R (v35 / label~e.23)
                                                 :A (v36 / label~e.24)
                                                 :P (v37 / label~e.25)))))
                  :H (v8 / label
                         :A (v17 / label~e.29)
                         :S (v18 / label
                                 :E (v24 / label~e.31)
                                 :C (v25 / label~e.32))
                         :D (v19 / label~e.33)
                         :A (v20 / label
                                 :A v17
                                 :R (v26 / label~e.34)
                                 :D (v27 / label~e.35,36)
                                 :D (v28 / label~e.37)
                                 :P (v29 / label~e.38)))
                  :L (v9 / label~e.30))
           :A (v4 / label~e.5)
           :P (v5 / label~e.6)
           :A (v6 / label~e.8)))
